,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
6514,131,11,61,8,2,1,60,17,6,3,10,1,30,3,2,1,78,45,3,1,2,80,Bad
9855,353,2,92,40,0,0,95,69,6,6,42,2,29,4,1,1,33,45,2,2,0,80,Good
1978,184,10,112,15,1,0,56,4,4,5,43,1,28,-7,0,0,58,87,5,2,1,70,Bad
8488,272,9,121,20,0,0,100,-7,6,8,20,1,25,0,0,0,42,88,8,2,1,77,Good
4978,110,30,67,12,0,0,100,-7,7,8,13,0,23,0,1,1,4,74,2,2,0,80,Good
1713,173,8,62,17,0,0,100,-7,7,8,18,2,67,0,1,1,21,93,3,3,0,100,Good
6051,434,5,141,18,1,0,95,4,3,5,19,2,37,0,1,1,47,99,5,2,-8,78,Bad
8172,274,1,82,35,0,0,97,-8,6,6,36,4,44,0,2,2,40,-8,2,1,1,33,Bad
1329,176,14,68,17,1,1,89,2,4,6,20,0,42,0,3,3,84,44,6,2,4,80,Bad
4689,92,11,57,32,0,0,97,8,4,6,32,1,44,0,4,4,45,68,4,4,1,57,Bad
2992,99,8,51,16,0,0,100,-7,7,8,16,1,56,0,0,0,15,-8,5,3,1,89,Bad
8071,170,2,74,33,0,0,100,-7,7,8,34,5,38,12,1,0,20,-8,4,4,0,67,Good
3805,163,1,71,22,0,0,100,-7,7,8,24,1,13,0,0,0,86,14,12,2,8,88,Bad
8741,450,5,122,17,0,0,100,-7,7,8,19,1,21,4,1,1,4,-8,3,-8,0,75,Good
4391,75,2,29,14,0,0,100,-7,7,8,16,3,25,0,1,1,48,91,3,2,1,100,Good
4096,70,10,39,9,1,0,82,16,6,5,12,1,36,-7,1,0,8,78,4,1,0,71,Bad
7061,176,5,87,21,0,0,95,19,6,6,21,1,38,-7,2,2,29,89,3,1,1,50,Bad
1494,175,4,48,27,0,0,100,-7,7,8,29,4,28,0,1,1,54,44,7,3,1,83,Good
4909,342,7,57,17,0,0,88,4,4,6,17,3,82,-7,2,0,99,45,2,4,1,100,Bad
648,206,5,68,30,0,0,97,6,4,6,68,1,39,1,1,1,63,73,6,3,1,100,Bad
2763,193,20,77,6,0,0,100,-7,7,8,8,0,67,-8,0,0,0,19,0,1,0,50,Good
4058,325,14,125,14,1,0,81,2,3,5,16,0,69,-7,0,0,3,54,2,4,0,86,Bad
3504,201,2,71,13,0,0,100,-7,7,8,19,1,36,1,2,2,5,-8,1,1,0,40,Bad
3564,405,58,200,16,0,0,94,30,6,6,19,0,50,0,2,2,3,-8,2,2,0,57,Good
9595,209,19,89,29,0,0,83,6,4,6,30,0,50,3,1,1,43,74,8,8,1,94,Good
8199,255,10,71,11,2,2,92,57,6,2,12,2,42,0,0,0,45,43,6,2,1,100,Good
8576,56,1,27,16,0,0,100,-7,7,8,17,4,12,-7,0,0,74,36,9,2,5,80,Bad
172,433,1,79,31,3,3,92,24,5,2,39,7,85,0,2,2,13,97,1,4,-8,100,Bad
2384,179,27,117,20,1,1,95,13,6,2,6,0,29,-7,1,1,14,-8,6,1,1,54,Good
5968,59,3,31,14,0,0,93,-8,6,6,14,4,36,0,5,4,57,48,8,4,1,100,Bad
1845,179,7,91,22,0,0,100,-7,7,8,45,1,45,-7,0,0,40,88,4,2,1,78,Good
684,200,2,74,70,0,0,99,39,6,6,71,4,66,1,8,8,9,94,4,9,0,82,Good
5850,304,18,117,30,0,0,100,-7,6,8,32,0,25,0,0,0,49,55,8,2,0,67,Bad
313,51,6,22,15,0,0,100,-7,5,8,24,3,25,0,0,0,61,84,10,3,1,100,Bad
3737,134,4,44,13,2,2,93,54,6,3,15,1,53,0,1,1,92,60,4,6,1,91,Bad
3309,180,2,99,27,0,0,100,-7,7,8,19,1,20,2,3,3,81,-8,5,1,3,78,Good
4735,139,7,73,24,1,1,96,38,6,6,25,1,24,4,1,1,48,92,5,2,1,70,Good
9256,274,3,98,27,0,0,93,1,4,6,28,2,21,0,1,1,54,82,8,2,4,65,Good
9654,263,1,92,28,0,0,97,-8,6,6,30,3,20,1,2,2,21,-8,5,1,1,60,Bad
2802,273,8,149,17,0,0,100,-7,6,7,69,1,24,-8,0,0,2,-8,4,-8,0,57,Bad
4341,175,13,89,12,0,0,100,-7,7,8,12,0,33,-8,0,0,0,42,1,2,0,38,Good
2622,149,3,68,31,0,0,100,-7,7,8,33,2,23,3,1,1,1,77,3,1,0,40,Good
2244,219,1,70,9,2,2,62,20,5,2,8,2,8,-7,1,1,45,-8,5,1,3,100,Bad
8105,328,12,115,36,0,0,100,-7,7,8,36,0,36,11,0,0,69,48,8,7,5,83,Good
9764,213,3,79,9,0,0,100,-7,7,8,9,1,22,0,2,2,42,54,2,2,1,50,Good
6551,131,29,60,6,0,0,100,-7,7,8,6,0,17,-8,0,0,5,-8,1,1,0,40,Good
8829,371,1,141,24,0,0,100,-7,7,8,25,2,28,-8,0,0,14,56,5,2,1,70,Good
2196,201,8,64,32,1,0,80,14,6,5,25,2,11,-7,1,1,69,65,8,2,2,100,Bad
3366,197,3,62,18,0,0,100,-7,6,7,32,3,39,3,2,2,22,50,5,3,0,90,Good
4121,86,1,35,14,0,0,94,35,6,6,16,3,38,-7,4,4,101,79,3,4,1,100,Bad
3189,201,2,65,31,0,0,97,44,6,6,46,6,30,12,0,0,30,76,4,3,1,36,Good
1369,245,27,110,20,0,0,87,10,4,6,23,0,17,0,0,0,40,6,6,2,1,64,Bad
4564,293,3,90,18,0,0,100,-7,6,7,18,1,44,2,1,1,2,100,4,2,0,86,Good
4208,367,9,117,32,0,0,100,-7,7,8,32,1,22,13,0,0,0,-8,4,2,0,35,Good
6104,441,7,114,20,0,0,100,-7,7,8,21,2,30,-7,3,3,3,50,2,1,1,33,Good
4107,86,9,36,13,0,0,100,-7,7,8,13,1,8,-7,0,0,19,-8,6,1,0,70,Bad
5297,172,2,74,18,0,0,100,-7,7,8,19,1,11,0,0,0,51,-8,2,2,2,50,Good
7490,213,2,71,40,0,0,100,-7,6,7,43,5,40,4,1,1,2,95,5,2,0,47,Good
8799,220,4,83,21,1,0,80,1,4,5,25,2,44,22,0,0,62,87,4,3,2,73,Good
311,295,16,108,18,0,0,100,-7,7,8,18,0,39,0,0,0,36,47,2,2,1,40,Good
6725,170,12,67,14,0,0,100,-7,7,8,15,0,27,0,0,0,25,34,1,3,0,40,Good
9326,96,1,35,12,0,0,100,-7,7,8,13,1,38,0,0,0,11,83,2,2,1,67,Bad
4344,475,6,139,47,0,0,96,65,6,6,49,1,27,7,1,0,74,54,4,3,2,73,Good
1212,141,6,73,25,0,0,92,52,6,6,26,2,54,0,0,0,81,96,6,3,5,90,Bad
906,204,2,71,30,2,2,94,1,4,6,35,6,47,0,4,3,94,51,5,6,5,86,Bad
5311,184,25,80,11,4,0,63,2,3,5,16,0,25,0,1,1,39,-8,2,1,0,60,Bad
3824,337,7,112,38,0,0,98,8,4,6,40,1,28,0,1,1,46,81,8,4,3,71,Bad
5569,339,12,87,11,0,0,100,-7,7,8,12,0,45,21,0,0,58,43,3,2,1,83,Good
4647,210,5,96,23,0,0,100,-7,7,8,24,1,21,15,0,0,3,-8,4,1,0,56,Good
7964,-8,4,76,31,0,0,100,-7,7,8,33,3,27,-7,1,1,22,41,5,3,1,53,Bad
7539,275,6,99,21,1,1,91,12,6,6,22,1,55,15,0,0,87,71,6,5,5,92,Bad
3701,182,2,63,31,0,0,88,14,6,6,32,3,44,0,2,2,50,59,5,4,2,83,Good
8446,73,20,45,13,2,2,50,5,1,3,15,0,43,0,0,0,33,33,3,3,0,86,Good
7762,117,4,37,13,0,0,100,-7,7,8,13,3,100,2,1,1,-8,72,-8,5,-8,100,Bad
4583,292,4,102,13,0,0,100,-7,7,8,13,1,15,7,0,0,0,-8,0,1,0,13,Bad
9159,197,27,109,6,1,1,100,-7,6,8,7,0,71,-8,0,0,8,-8,1,2,0,100,Good
919,198,8,74,32,0,0,100,-7,6,7,33,1,64,15,0,0,17,38,3,2,0,63,Good
5196,162,15,68,7,2,2,75,19,0,2,8,0,63,0,1,1,0,-8,0,1,0,33,Bad
7295,200,5,57,8,5,4,62,11,0,2,13,3,46,4,2,2,54,52,4,3,1,88,Bad
285,269,6,107,32,1,1,97,-7,5,7,32,3,31,0,0,0,42,2,3,2,1,75,Good
8162,33,4,16,5,0,0,100,-7,7,8,5,1,20,0,3,2,53,92,3,1,0,100,Bad
6771,120,34,74,4,0,0,40,4,4,6,5,0,0,0,2,1,59,-8,1,-8,-8,25,Bad
6851,166,3,49,29,0,0,100,-7,7,8,29,4,31,0,1,1,56,68,7,4,3,73,Bad
6984,120,2,43,18,0,0,100,-7,7,8,21,3,55,-7,0,0,87,83,5,5,3,100,Bad
9213,259,5,92,27,0,0,96,38,6,6,27,3,30,0,0,0,14,-8,3,3,1,47,Bad
9642,121,2,41,39,0,0,98,37,6,6,41,6,41,2,4,4,38,96,7,2,1,47,Good
3033,204,1,110,23,0,0,100,-7,7,8,14,1,40,-8,0,0,6,-8,5,3,0,67,Good
9448,165,8,70,28,2,1,83,3,1,3,31,1,40,-7,0,0,73,38,7,7,3,84,Bad
8012,-8,3,58,12,4,4,83,18,6,6,12,2,33,0,2,2,68,65,4,3,0,64,Bad
6998,83,3,40,26,4,2,80,10,4,4,30,3,33,-7,0,0,3,89,2,4,0,58,Bad
8940,176,8,65,24,0,0,80,32,6,6,25,3,44,0,1,0,54,72,5,3,2,89,Bad
1768,209,1,89,34,2,2,83,10,0,2,41,3,44,0,8,8,35,46,8,4,1,76,Bad
6723,40,6,23,7,0,0,86,14,6,6,7,1,57,0,2,2,89,74,3,3,-8,100,Bad
220,234,4,69,54,2,1,98,60,6,5,60,4,25,0,2,2,19,62,6,4,0,57,Bad
5866,87,4,44,20,0,0,85,18,6,6,20,3,20,0,4,4,24,-8,8,2,0,77,Bad
4188,164,1,43,39,0,0,100,-7,7,8,44,17,36,-7,24,24,54,104,5,11,3,73,Bad
6941,342,64,140,10,0,0,100,-7,7,8,10,0,60,0,0,0,18,-8,2,-8,0,67,Good
1955,25,3,57,19,0,0,100,-7,7,8,11,1,10,-7,0,0,56,-8,8,1,3,75,Bad
2352,161,3,85,24,0,0,100,-7,7,8,8,1,21,-7,1,1,5,75,4,2,0,50,Good
509,62,1,31,24,0,0,100,-7,7,8,28,6,29,-7,12,12,34,88,3,8,1,85,Bad
3206,225,4,121,12,0,0,100,-7,7,8,28,2,25,-8,0,0,3,-8,2,1,0,60,Good
3048,337,1,84,36,0,0,100,-7,7,8,44,3,16,0,2,2,3,100,6,2,0,53,Good
2300,153,5,76,24,1,1,90,9,4,6,50,2,66,-7,1,1,14,23,4,8,0,71,Bad
3297,131,2,73,25,0,0,100,-7,7,8,11,4,38,1,1,1,9,49,8,3,0,73,Good
5865,318,4,74,22,0,0,100,-7,6,8,22,5,77,0,8,8,7,91,2,3,0,83,Bad
9856,82,19,55,10,0,0,100,-7,7,8,10,0,40,0,2,2,40,36,2,3,1,71,Bad
5008,132,3,35,21,0,0,93,-7,5,7,28,4,61,0,6,6,91,-8,7,1,1,89,Bad
7456,118,6,41,26,2,1,96,77,6,5,27,5,56,5,0,0,40,47,4,3,1,88,Bad
6653,330,13,97,37,1,0,86,12,6,5,43,0,53,0,0,0,61,60,9,2,3,79,Bad
818,207,11,74,45,0,0,100,-7,7,8,46,1,13,7,0,0,85,20,10,2,5,57,Bad
4946,331,6,94,24,0,0,92,45,6,6,26,7,25,-7,0,0,56,91,6,3,3,64,Good
9395,274,3,95,43,0,0,89,0,4,6,44,4,23,0,1,1,58,47,13,6,7,72,Good
9271,64,3,29,13,0,0,100,-7,7,8,13,2,38,0,4,4,22,100,3,2,0,63,Bad
1787,158,31,88,14,0,0,80,3,4,6,15,0,53,0,0,0,48,-8,3,1,1,80,Bad
454,111,1,50,20,0,0,95,79,6,6,22,3,45,0,1,1,25,83,2,3,1,63,Good
3118,132,3,38,29,2,2,94,40,6,2,32,8,16,9,0,0,22,76,4,3,0,47,Good
7774,354,7,86,26,0,0,100,-7,7,8,26,3,38,0,1,1,49,82,4,3,2,70,Good
4871,247,21,97,19,0,0,100,-7,7,8,20,0,45,0,0,0,3,39,1,1,0,33,Good
3492,306,17,71,7,0,0,100,-7,7,8,21,0,43,5,0,0,39,-8,2,1,0,75,Good
240,321,11,67,13,2,2,82,71,6,4,17,1,53,0,4,4,50,80,3,5,0,90,Bad
252,152,8,50,23,4,2,79,29,6,2,29,4,41,0,0,0,70,93,8,3,1,100,Bad
4758,166,8,72,18,1,0,77,3,4,5,22,2,32,5,2,2,82,28,5,2,3,88,Good
3681,91,4,87,23,1,0,76,7,4,5,3,2,20,2,2,2,57,100,3,2,2,50,Bad
8584,201,18,92,30,0,0,100,-7,7,8,32,0,50,-7,0,0,21,84,3,3,0,86,Good
1709,43,10,27,15,0,0,100,-7,7,8,15,1,20,0,1,1,53,77,9,2,1,85,Bad
5344,187,20,101,7,1,0,60,1,4,5,10,0,40,0,0,0,75,62,3,2,1,100,Bad
4205,146,57,83,10,0,0,100,-7,7,8,10,0,20,3,1,1,13,-8,1,-8,0,20,Good
8717,222,2,93,32,0,0,97,16,6,6,37,1,35,0,2,2,62,-8,5,1,2,60,Good
4119,208,5,74,27,0,0,97,45,6,6,29,1,17,-7,1,1,3,89,3,1,0,29,Good
1128,185,2,109,15,2,1,78,55,6,2,18,3,33,0,4,4,24,80,3,1,0,57,Bad
7046,164,3,56,36,0,0,97,31,6,6,36,4,22,-7,2,2,3,81,3,3,0,40,Good
7320,397,8,116,59,0,0,100,-7,7,8,60,1,3,4,1,1,10,72,17,1,3,56,Bad
1568,229,20,102,22,0,0,100,-7,7,8,22,0,27,0,0,0,5,-8,2,1,0,50,Bad
7935,-8,17,37,4,0,0,100,-7,7,8,4,0,75,-7,1,1,118,-8,1,2,1,100,Bad
794,200,1,69,15,0,0,100,-7,7,8,18,1,28,0,1,1,3,-8,2,1,0,75,Good
3190,436,2,116,47,0,0,100,-7,7,8,37,1,13,2,1,1,11,29,6,3,0,33,Bad
2111,46,2,21,13,0,0,100,-7,7,8,23,5,21,-7,3,3,66,78,7,2,2,75,Bad
178,277,6,94,26,0,0,71,3,4,6,28,1,54,5,0,0,52,77,5,4,1,82,Bad
1389,170,11,67,34,0,0,100,-7,7,8,35,1,46,0,8,8,4,79,2,3,0,42,Good
541,254,14,112,13,0,0,94,7,4,6,16,0,44,-7,4,3,63,77,5,5,3,91,Bad
8997,190,6,76,50,0,0,98,64,6,6,54,1,61,-7,1,1,57,49,6,13,1,95,Good
5846,153,0,75,17,0,0,100,-7,7,8,18,4,33,0,2,2,87,95,2,2,1,57,Bad
1806,179,12,70,13,2,1,75,0,3,4,16,0,44,0,0,0,19,87,4,2,0,75,Good
290,247,3,57,46,0,0,98,18,6,6,46,3,28,0,0,0,3,45,3,2,0,45,Bad
7662,243,5,75,22,0,0,100,-7,7,8,22,2,23,0,4,2,4,-8,3,1,0,31,Good
6402,201,14,87,17,0,0,94,21,6,6,18,0,33,0,1,1,1,-8,2,1,0,33,Good
2524,229,10,45,22,0,0,87,6,4,6,43,2,35,10,0,0,43,-8,4,2,1,50,Bad
4979,385,9,81,26,0,0,85,2,4,6,28,1,23,8,0,0,73,84,5,2,2,58,Bad
3385,328,2,103,13,1,1,82,16,5,2,36,1,41,4,1,1,77,-8,3,2,1,86,Bad
7253,80,2,42,14,0,0,100,-7,7,8,15,2,27,-8,0,0,61,73,4,3,0,88,Bad
1539,140,15,70,24,1,0,96,18,6,5,25,0,32,0,3,1,0,74,0,2,0,22,Good
2405,163,13,57,12,2,2,79,57,6,3,4,0,57,23,2,0,-8,-8,0,1,-8,67,Bad
6482,286,3,81,20,0,0,90,2,4,6,21,4,70,1,2,2,55,72,4,8,1,100,Good
3463,190,17,83,29,1,0,93,74,6,5,28,0,27,17,0,0,72,-8,7,1,3,67,Bad
6322,107,4,59,22,1,1,96,71,6,2,23,1,17,3,1,1,23,26,2,2,1,44,Good
7832,172,19,85,29,0,0,100,-7,7,8,31,0,16,0,1,1,65,-8,9,1,3,77,Bad
7944,-8,4,20,17,1,1,100,-7,6,8,18,8,17,-7,1,1,10,89,2,2,1,29,Bad
934,306,8,99,24,0,0,100,-7,7,8,24,2,25,7,1,0,0,94,0,2,0,20,Good
8101,292,4,62,42,1,0,96,1,3,5,45,4,31,0,3,3,11,89,3,4,0,35,Good
180,307,2,85,35,0,0,95,22,6,6,38,3,24,0,3,3,38,-8,5,1,2,50,Good
9486,213,18,98,4,2,2,100,-7,6,8,4,0,50,-7,0,0,114,-8,1,1,-8,100,Bad
3897,240,5,104,24,0,0,92,3,4,6,24,2,33,0,0,0,61,68,6,2,3,69,Good
1671,237,5,76,47,1,1,100,-7,6,8,52,2,27,0,0,0,8,-8,5,1,1,60,Bad
6596,85,5,46,19,0,0,100,-7,7,8,19,2,37,7,0,0,34,37,6,2,0,80,Good
6805,16,3,7,4,0,0,100,-7,7,8,5,4,40,0,2,2,8,-8,1,1,0,50,Good
2747,264,32,109,30,0,0,97,12,6,6,35,0,37,0,1,1,86,74,11,3,8,93,Bad
3130,161,12,49,7,0,0,100,-7,7,8,15,0,29,11,0,0,0,-8,0,1,0,33,Good
643,186,4,83,29,0,0,100,-7,7,8,30,3,23,11,0,0,35,-8,5,1,1,50,Good
1711,128,12,63,14,0,0,100,-7,7,8,14,0,29,0,1,1,28,-8,6,1,1,70,Good
2068,324,12,132,38,1,1,80,2,2,4,23,0,31,-7,2,2,67,23,8,3,5,57,Bad
937,11,11,11,1,0,0,100,-7,7,8,1,1,0,0,2,2,14,-8,1,-8,0,100,Good
8356,66,5,36,19,0,0,95,-8,5,6,19,2,63,0,1,1,92,61,5,3,2,100,Bad
9400,216,20,118,11,0,0,91,16,6,6,11,0,18,0,0,0,41,-8,4,1,0,63,Good
9272,220,4,79,24,0,0,100,-7,7,8,24,1,50,0,0,0,36,84,4,4,0,80,Bad
8557,146,3,48,23,1,0,80,22,5,5,25,6,24,-7,1,1,61,85,10,2,1,80,Bad
2899,331,12,97,19,1,0,95,29,6,5,30,0,43,13,0,0,33,83,3,2,1,56,Good
6101,173,4,96,37,0,0,100,-7,6,7,38,4,45,-7,3,3,41,97,3,2,0,36,Good
2773,171,9,67,39,2,2,93,24,6,2,40,1,43,0,2,2,49,52,5,4,2,75,Good
2838,-8,9,88,31,0,0,94,14,6,6,0,2,22,1,1,1,6,100,3,2,0,63,Bad
3327,141,1,65,23,0,0,96,1,4,6,25,4,16,0,4,4,0,95,3,2,0,43,Good
7555,373,7,91,32,0,0,97,56,6,6,32,1,22,-8,0,0,26,-8,8,1,1,56,Good
2892,143,17,64,8,1,0,40,3,4,5,5,0,50,0,3,3,3,-8,2,1,0,75,Bad
6696,221,2,46,62,0,0,100,-7,7,8,63,6,16,0,2,2,0,-8,4,3,0,21,Good
8658,102,7,63,10,0,0,100,-7,7,8,11,1,9,7,1,0,51,-8,1,1,0,50,Bad
499,312,5,78,26,1,1,100,-7,7,8,26,4,31,-7,4,4,10,36,3,2,0,56,Bad
4666,261,23,88,22,0,0,100,-7,7,8,22,0,23,-8,0,0,7,-8,3,1,0,36,Good
4812,190,6,74,21,0,0,65,1,4,6,23,1,48,0,0,0,94,-8,6,1,2,100,Bad
4075,498,4,95,16,0,0,100,-7,7,8,16,1,44,-7,0,0,14,28,3,2,0,63,Bad
3455,160,6,85,11,1,1,92,20,6,3,13,1,42,0,2,1,12,-8,1,1,0,100,Good
5167,163,9,76,16,0,0,100,-7,7,8,16,1,38,0,0,0,14,72,3,3,1,75,Good
1516,206,4,78,33,0,0,97,4,4,6,34,8,29,0,7,6,22,68,10,3,1,81,Bad
1136,232,9,81,20,0,0,100,-7,7,8,21,1,10,0,0,0,13,-8,6,1,1,50,Good
2917,411,3,95,70,0,0,99,65,6,6,72,5,12,2,1,1,23,64,8,2,2,37,Good
6410,199,9,85,24,0,0,100,-7,7,8,24,1,25,6,0,0,80,-8,5,-8,4,63,Bad
6485,265,32,115,11,0,0,100,-7,7,8,11,0,64,-8,0,0,80,-8,2,1,-8,100,Bad
1287,76,1,26,14,3,0,83,56,6,5,18,7,67,0,2,2,61,92,6,4,1,100,Bad
3496,290,12,119,45,0,0,100,-7,7,8,22,0,28,11,0,0,37,44,12,5,1,78,Good
4685,164,9,88,18,1,1,86,1,4,2,21,1,33,0,0,0,48,66,4,2,2,75,Bad
1431,257,8,69,20,0,0,100,-7,7,8,20,1,45,0,0,0,74,55,3,4,2,88,Bad
424,126,1,40,9,1,1,100,-7,7,8,11,4,30,0,1,1,36,50,2,2,0,50,Bad
1077,198,3,92,20,0,0,100,-7,7,8,20,1,30,0,2,2,34,76,2,4,0,60,Good
